Employee ID;Date of Joining;Gender;Company Type;WFH Setup Available;Designation;Resource Allocation;Mental Fatigue Score;Burn Rate;Years in Company;Work Hours per Week;Sleep Hours;Work-Life Balance Score;Manager Support Score;Deadline Pressure Score;Team Size;Recognition Frequency
fffe32003000360033003200;30/09/2008;Female;Service;No;2;3.0;3.8;0.16;16;35;7.5;3;3;1;16;2
fffe3700360033003500;30/11/2008;Male;Service;Yes;1;2.0;5.0;0.36;16;41;7.1;5;3;3;10;5
fffe31003300320037003900;10/03/2008;Female;Product;Yes;2;;5.8;0.49;16;53;5.7;2;3;5;17;0
fffe32003400380032003900;03/11/2008;Male;Service;Yes;1;1.0;2.6;0.2;16;43;6.7;3;3;1;13;2
fffe31003900340031003600;24/07/2008;Female;Service;No;3;7.0;6.9;0.52;16;51;5.2;1;3;4;18;0
fffe3300350037003500;26/11/2008;Male;Product;Yes;2;4.0;3.6;0.29;16;41;7.0;4;4;3;9;5
fffe33003300340039003100;02/01/2008;Female;Service;No;3;6.0;7.9;0.62;17;52;5.3;2;3;5;18;0
fffe32003600320037003400;31/10/2008;Female;Service;Yes;2;4.0;4.4;0.33;16;37;6.8;4;5;3;14;5
fffe32003200300034003700;27/12/2008;Female;Service;No;3;6.0;;0.56;16;50;5.0;1;2;4;16;1
fffe31003600320030003200;09/03/2008;Female;Product;No;3;6.0;;0.67;16;58;4.5;2;3;4;12;0
fffe33003100330032003700;16/03/2008;Male;Product;Yes;2;3.0;5.3;0.5;16;52;6.6;2;3;5;8;0
fffe3400310035003800;12/05/2008;Male;Service;Yes;0;1.0;1.8;0.12;16;36;6.8;3;3;1;19;5
fffe32003100300030003700;20/01/2008;Male;Service;Yes;2;5.0;;0.4;16;40;7.6;3;5;1;9;4
fffe31003800330032003500;23/02/2008;Female;Product;No;1;3.0;;0.33;16;39;6.5;4;4;3;8;4
fffe33003100330036003300;14/05/2008;Male;Product;Yes;1;3.0;5.8;0.51;16;58;5.5;2;1;4;10;0
fffe31003700350033003100;03/02/2008;Female;Service;Yes;3;5.0;4.7;0.32;16;36;7.2;4;4;2;3;5
fffe33003200360037003000;17/03/2008;Male;Service;Yes;1;2.0;5.9;0.39;16;43;7.0;4;3;3;13;2
fffe31003500350030003400;28/03/2008;Male;Service;No;3;6.0;6.7;0.59;16;50;5.4;1;3;5;14;0
fffe31003000380035003800;29/05/2008;Female;Product;Yes;2;4.0;4.0;0.22;16;38;7.5;3;4;3;16;2
fffe3300350037003200;27/06/2008;Female;Service;No;3;5.0;;0.68;16;55;6.2;1;2;5;18;1
fffe31003300360039003000;31/08/2008;Male;Product;No;2;4.0;7.6;0.57;16;55;6.0;2;2;4;7;0
fffe32003700370038003300;15/01/2008;Male;Service;Yes;1;3.0;6.3;0.47;16;48;5.3;2;1;4;15;0
fffe31003800390035003300;04/05/2008;Male;Service;Yes;1;3.0;6.7;0.46;16;55;6.0;2;2;5;4;0
fffe3700370035003600;17/11/2008;Female;Product;Yes;3;;7.7;0.61;16;49;5.2;1;1;4;17;1
fffe3700300033003500;14/09/2008;Female;Service;No;3;8.0;;0.91;16;59;5.5;1;1;5;17;1
fffe3700370038003000;09/10/2008;Female;Service;Yes;3;;5.8;0.4;16;41;7.1;5;5;1;13;5
fffe3200340036003400;11/10/2008;Male;Service;No;2;4.0;6.6;0.44;16;57;4.9;2;3;5;19;1
fffe3600330034003600;18/09/2008;Female;Service;No;2;4.0;7.4;0.6;16;56;5.7;2;1;5;9;1
fffe31003600310031003600;16/09/2008;Female;Service;No;2;5.0;6.7;0.46;16;54;5.0;2;1;5;17;1
fffe3400310034003500;26/11/2008;Female;Service;Yes;2;4.0;;0.45;16;50;4.9;1;1;4;11;1
fffe32003300340037003400;12/05/2008;Female;Product;Yes;1;2.0;3.6;0.2;16;44;7.0;4;3;1;18;3
fffe3500380031003000;16/12/2008;Female;Service;Yes;1;2.0;3.9;0.2;16;37;6.5;3;4;2;16;3
fffe32003400340039003400;11/10/2008;Female;Service;No;0;1.0;3.0;0.19;16;43;7.3;3;3;3;7;3
fffe31003500310034003800;10/03/2008;Male;Service;No;1;3.0;4.7;0.31;16;38;7.6;3;3;1;4;2
fffe32003700310030003800;03/05/2008;Male;Product;No;4;8.0;8.7;0.81;16;53;5.2;2;1;4;12;0
fffe32003800300036003300;04/08/2008;Male;Service;Yes;3;5.0;4.4;0.39;16;40;6.6;5;5;2;12;3
fffe390036003000;31/07/2008;Female;Service;Yes;3;6.0;5.8;0.42;16;52;5.7;2;1;4;14;0
fffe32003700390039003300;17/06/2008;Female;Product;Yes;0;2.0;3.9;0.19;16;38;7.7;4;3;2;14;4
fffe32003500390036003500;28/04/2008;Female;Service;Yes;3;7.0;6.6;0.56;16;52;6.4;2;2;4;14;1
fffe33003400390030003300;30/10/2008;Female;Service;No;4;7.0;7.3;0.53;16;53;4.9;2;2;5;4;1
fffe3200350030003300;27/02/2008;Female;Service;Yes;3;5.0;;0.5;16;49;4.9;1;1;4;8;1
fffe3800360036003400;22/06/2008;Female;Product;Yes;1;3.0;5.4;0.33;16;43;7.0;5;5;2;6;3
fffe33003200380030003900;18/02/2008;Male;Service;No;2;5.0;5.0;0.45;16;51;5.1;2;3;4;19;1
fffe31003800370038003900;24/06/2008;Female;Service;Yes;2;3.0;6.0;0.36;16;38;6.1;5;4;3;12;5
fffe31003700330031003000;08/12/2008;Female;Service;Yes;3;6.0;7.5;0.59;16;55;5.1;1;1;4;12;1
fffe31003500330034003700;05/08/2008;Male;Service;Yes;2;3.0;;;16;42;6.9;4;3;1;13;5
fffe32003300380035003700;11/04/2008;Male;Service;No;4;10.0;10.0;0.94;16;52;7.5;1;3;4;10;0
fffe3500320032003000;26/03/2008;Female;Product;Yes;3;6.0;;;16;38;7.1;4;4;1;7;4
fffe3900300031003500;09/08/2008;Female;Product;No;3;;7.7;0.61;16;48;6.2;2;1;5;6;1
fffe32003700300034003600;28/08/2008;Female;Product;Yes;1;3.0;6.0;0.37;16;44;7.4;4;3;3;13;4
